Si_SAECP_example	87.443092	0.674269	-96.369383	0.500000	0.500000	3.903105
Si_SAECP_example	87.441590	0.674269	-96.367936	0.500000	0.500000	3.903104
Si_SAECP_example	87.441590	0.674269	-96.367936	0.500000	0.500000	3.903104
Si_SAECP_example	87.441590	0.674269	-96.367936	0.500000	0.500000	3.903104
Si_SAECP_example	87.441590	0.674269	-96.367936	0.500000	0.500000	3.903104
Si_SAECP_example	87.441590	0.674269	-96.367936	0.500000	0.500000	3.903104
Si_SAECP_example	87.441590	0.674269	-96.367936	0.500000	0.500000	3.903104
Si_SAECP_example	87.441590	0.674269	-96.367936	0.500000	0.500000	3.903104
Si_SAECP_example	87.441590	0.674269	-96.367936	0.500000	0.500000	3.903104
Si_SAECP_example	87.441590	0.674269	-96.367936	0.500000	0.500000	3.903104
Si_SAECP_example	87.441590	0.674269	-96.367936	0.500000	0.500000	3.903104
